iter	Passed	Remaining
0	0	29
1	0	26
2	0	24
3	0	22
4	1	21
5	1	21
6	1	21
7	1	20
8	2	20
9	2	20
10	2	20
11	2	20
12	3	20
13	3	19
14	3	20
15	3	19
16	4	19
17	4	19
18	4	19
19	4	18
20	4	18
21	5	18
22	5	18
23	5	17
24	5	17
25	6	17
26	6	17
27	6	16
28	6	16
29	7	16
30	7	16
31	7	15
32	7	15
33	8	15
34	8	15
35	8	15
36	9	15
37	9	15
38	9	15
39	10	15
40	10	14
41	10	14
42	10	14
43	11	14
44	11	13
45	11	13
46	11	13
47	12	13
48	12	13
49	13	13
50	13	12
51	13	12
52	14	12
53	14	12
54	14	11
55	14	11
56	15	11
57	15	11
58	15	11
59	16	10
60	16	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	18	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	20	7
74	20	6
75	20	6
76	20	6
77	21	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	24	2
89	24	2
90	24	2
91	24	2
92	25	1
93	25	1
94	25	1
95	25	1
96	26	0
97	26	0
98	26	0
99	26	0
