iter	Passed	Remaining
0	58	57986
1	58	29145
2	58	19544
3	59	14738
4	59	11854
5	60	9952
6	60	8575
7	60	7536
8	61	6729
9	61	6087
10	61	5563
11	62	5122
12	62	4750
13	62	4432
14	63	4157
15	63	3918
16	64	3706
17	64	3518
18	64	3348
19	65	3194
20	65	3054
21	65	2930
22	66	2815
23	66	2713
24	67	2617
25	67	2526
26	67	2442
27	68	2368
28	68	2295
29	68	2230
30	69	2165
31	69	2105
32	69	2050
33	70	1997
34	70	1947
35	70	1900
36	71	1855
37	71	1812
38	71	1771
39	72	1736
40	72	1700
41	72	1664
42	73	1631
43	73	1599
44	73	1568
45	74	1538
46	74	1510
47	74	1482
48	75	1457
49	75	1432
50	75	1408
51	76	1385
52	76	1363
53	76	1341
54	76	1321
55	77	1301
56	77	1281
57	77	1263
58	78	1245
59	78	1227
60	78	1210
61	78	1194
62	79	1178
63	79	1164
64	79	1149
65	80	1135
66	80	1123
67	80	1109
68	81	1096
69	81	1083
70	81	1072
71	82	1060
72	82	1048
73	82	1036
74	83	1025
75	83	1014
76	83	1003
77	83	992
78	84	982
79	84	972
80	84	962
81	85	953
82	85	942
83	85	933
84	85	924
85	86	915
86	86	906
87	86	898
88	86	890
89	87	882
90	87	874
91	87	866
92	88	858
93	88	851
94	88	844
95	88	837
96	89	830
97	89	823
98	89	817
99	90	810
100	90	804
101	90	798
102	90	792
103	91	786
104	91	780
105	91	773
106	92	768
107	92	762
108	92	757
109	92	752
110	93	746
111	93	741
112	93	736
113	94	731
114	94	726
115	94	721
116	94	715
117	95	712
118	95	707
119	95	703
120	96	698
121	96	693
122	96	689
123	96	684
124	97	680
125	97	676
126	97	672
127	98	667
128	98	664
129	98	660
130	99	656
131	99	653
132	99	649
133	99	645
134	100	641
135	100	638
136	100	635
137	101	631
138	101	627
139	101	624
140	101	620
141	102	616
142	102	613
143	102	609
144	102	606
145	103	603
146	103	600
147	103	597
148	104	594
149	104	590
150	104	587
151	104	584
152	105	582
153	105	580
154	105	577
155	106	574
156	106	571
157	106	569
158	107	566
159	107	563
160	107	559
161	107	557
162	107	554
163	108	551
164	108	549
165	108	547
166	109	544
167	109	541
168	109	539
